Weather,Time of day,Budget,Physicality level,Environment,Group size,Activity
sunny,afternoon,medium,2,outdoors,2,Swimming
cloudy,afternoon,high,1,outdoors,2,Concert
cloudy,evening,medium,2,indoors,4+,Cooking class
sunny,afternoon,medium,3,indoors,1,Gym
sunny,morning,medium,2,indoors,4+,Yoga
sunny,morning,low,2,outdoors,1,Kite flying
sunny,afternoon,medium,2,indoors,4+,Yoga
cloudy,afternoon,medium,2,indoors,3,Yoga
sunny,morning,medium,2,indoors,4+,Yoga
rainy,morning,low,1,outdoors,1,Stargazing
sunny,afternoon,medium,1,indoors,2,Movie
sunny,evening,medium,3,indoors,2,Gym
rainy,evening,medium,2,indoors,4+,Cooking class
sunny,afternoon,high,1,outdoors,4+,Concert
snowy,evening,medium,2,indoors,3,Cooking class
sunny,evening,low,3,outdoors,1,Hiking
snowy,afternoon,medium,2,indoors,1,Yoga
cloudy,evening,medium,1,indoors,4+,Comedy
sunny,evening,medium,1,indoors,4+,Karaoke
sunny,afternoon,medium,1,indoors,4+,Karaoke
sunny,afternoon,low,3,outdoors,3,Biking
snowy,evening,medium,1,indoors,4+,Karaoke
snowy,morning,high,1,indoors,3,Eating out
sunny,morning,low,3,outdoors,3,Surfing
cloudy,morning,medium,2,indoors,4+,Bowling
snowy,evening,medium,1,indoors,1,Museum
sunny,morning,low,1,outdoors,4+,Stargazing
sunny,afternoon,medium,2,outdoors,2,Swimming
rainy,afternoon,medium,1,indoors,2,Karaoke
sunny,afternoon,low,3,outdoors,4+,Beach
cloudy,morning,medium,2,indoors,3,Yoga
rainy,evening,medium,1,indoors,1,Museum
rainy,morning,medium,2,indoors,4+,Bowling
cloudy,morning,medium,2,indoors,3,Cooking class
cloudy,evening,medium,1,indoors,4+,Museum
sunny,morning,low,3,outdoors,4+,Biking
cloudy,morning,high,1,outdoors,2,Concert
cloudy,evening,medium,3,outdoors,1,Hiking
rainy,morning,low,1,outdoors,1,Stargazing
sunny,afternoon,medium,3,indoors,1,Gym
cloudy,morning,low,3,outdoors,2,Biking
rainy,morning,medium,1,indoors,2,Comedy
cloudy,morning,medium,2,indoors,4+,Cooking class
sunny,evening,medium,3,outdoors,2,Swimming
sunny,evening,low,3,outdoors,4+,Beach
rainy,evening,low,1,indoors,4+,Board games
sunny,afternoon,medium,2,outdoors,4+,Swimming
sunny,afternoon,low,3,outdoors,4+,Surfing
cloudy,afternoon,low,3,outdoors,2,Biking
cloudy,morning,medium,3,outdoors,1,Hiking
cloudy,morning,low,1,outdoors,3,Picnic
cloudy,morning,low,1,outdoors,3,Stargazing
cloudy,afternoon,medium,3,outdoors,4+,Hiking
sunny,evening,medium,1,indoors,4+,Comedy
cloudy,morning,medium,3,outdoors,1,Hiking
sunny,afternoon,medium,2,outdoors,1,Swimming
snowy,morning,medium,1,indoors,3,Comedy
sunny,afternoon,low,1,indoors,4+,Board games
sunny,morning,medium,3,outdoors,4+,Hiking
cloudy,morning,medium,3,indoors,1,Gym
sunny,morning,low,1,outdoors,2,Stargazing
cloudy,morning,high,1,outdoors,4+,Concert
snowy,morning,high,3,outdoors,4+,Skiing
sunny,morning,medium,2,outdoors,4+,Swimming
cloudy,morning,medium,1,indoors,2,Karaoke
sunny,afternoon,low,1,outdoors,2,Stargazing
snowy,afternoon,medium,1,indoors,3,Karaoke
cloudy,morning,medium,2,indoors,4+,Escape room
cloudy,morning,high,1,outdoors,2,Concert
cloudy,evening,high,1,indoors,4+,Eating out
snowy,morning,low,1,indoors,4+,Board games
snowy,evening,medium,1,indoors,2,Museum
sunny,morning,high,1,outdoors,2,Zoo
snowy,afternoon,high,3,outdoors,1,Skiing
rainy,evening,low,1,outdoors,3,Stargazing
cloudy,morning,medium,1,indoors,4+,Comedy
sunny,evening,low,1,outdoors,4+,Stargazing
sunny,morning,low,2,outdoors,3,Beach
snowy,afternoon,medium,2,indoors,4+,Escape room
snowy,afternoon,low,1,outdoors,2,Stargazing
sunny,afternoon,medium,1,indoors,4+,Museum
cloudy,evening,medium,3,outdoors,1,Hiking
sunny,evening,medium,1,indoors,3,Movie
cloudy,evening,low,1,outdoors,4+,Park
sunny,afternoon,medium,2,outdoors,1,Swimming
rainy,afternoon,medium,2,indoors,4+,Cooking class
cloudy,evening,medium,3,outdoors,3,Hiking
cloudy,morning,medium,3,indoors,2,Gym
cloudy,evening,low,3,outdoors,1,Hiking
snowy,evening,medium,2,indoors,4+,Yoga
snowy,afternoon,medium,2,indoors,4+,Escape room
snowy,evening,low,1,indoors,4+,Board games
snowy,morning,medium,1,indoors,4+,Museum
cloudy,afternoon,medium,1,indoors,2,Karaoke
snowy,afternoon,medium,1,indoors,4+,Comedy
sunny,morning,low,3,outdoors,3,Beach
snowy,afternoon,medium,2,indoors,3,Yoga
cloudy,afternoon,low,3,outdoors,4+,Hiking
snowy,morning,high,1,indoors,4+,Eating out
cloudy,afternoon,medium,1,indoors,2,Museum
rainy,evening,medium,1,indoors,3,Museum
cloudy,evening,medium,1,indoors,2,Movie
cloudy,morning,medium,1,indoors,3,Karaoke
rainy,afternoon,medium,2,indoors,1,Yoga
sunny,morning,high,1,indoors,2,Eating out
sunny,morning,low,3,outdoors,4+,Surfing
cloudy,afternoon,low,1,outdoors,1,Park
cloudy,evening,medium,3,outdoors,2,Hiking
cloudy,morning,medium,1,indoors,2,Movie
snowy,evening,medium,2,indoors,1,Yoga
rainy,evening,low,1,outdoors,2,Stargazing
cloudy,afternoon,medium,1,indoors,3,Comedy
cloudy,afternoon,low,3,outdoors,3,Hiking
sunny,afternoon,low,3,outdoors,2,Hiking
sunny,morning,medium,2,indoors,3,Yoga
sunny,morning,low,3,outdoors,1,Hiking
cloudy,evening,medium,3,indoors,2,Gym
cloudy,afternoon,medium,3,outdoors,3,Hiking
snowy,evening,high,3,outdoors,4+,Skiing
snowy,morning,medium,1,indoors,4+,Museum
snowy,morning,medium,2,indoors,4+,Bowling
rainy,evening,medium,1,indoors,1,Museum
cloudy,morning,low,3,outdoors,4+,Biking
snowy,morning,low,1,outdoors,4+,Stargazing
cloudy,evening,low,1,outdoors,3,Park
cloudy,afternoon,medium,1,indoors,3,Comedy
sunny,evening,medium,1,indoors,4+,Karaoke
sunny,afternoon,low,3,outdoors,3,Surfing
sunny,evening,low,2,outdoors,2,Beach
sunny,morning,low,1,outdoors,2,Picnic
rainy,evening,medium,1,indoors,3,Karaoke
rainy,afternoon,low,1,indoors,4+,Board games
cloudy,morning,medium,1,indoors,3,Museum
snowy,afternoon,medium,1,indoors,2,Karaoke
sunny,afternoon,medium,2,outdoors,4+,Swimming
sunny,morning,high,1,indoors,3,Eating out
rainy,evening,low,2,outdoors,2,Kite flying
sunny,afternoon,medium,2,indoors,3,Yoga
sunny,morning,low,2,outdoors,1,Kite flying
rainy,afternoon,medium,2,indoors,3,Cooking class
cloudy,evening,medium,3,outdoors,1,Hiking
sunny,afternoon,medium,1,indoors,3,Comedy
cloudy,afternoon,low,3,outdoors,3,Hiking
sunny,afternoon,high,1,outdoors,3,Zoo
snowy,evening,medium,3,indoors,1,Gym
cloudy,afternoon,low,1,indoors,4+,Board games
cloudy,morning,medium,2,indoors,4+,Bowling
snowy,evening,high,3,outdoors,1,Skiing
snowy,morning,high,3,outdoors,4+,Skiing
sunny,afternoon,medium,1,indoors,4+,Museum
cloudy,evening,medium,2,indoors,4+,Yoga
sunny,afternoon,medium,2,outdoors,2,Swimming
rainy,afternoon,medium,1,indoors,4+,Comedy
cloudy,morning,medium,1,indoors,3,Comedy
cloudy,evening,medium,2,indoors,4+,Escape room
snowy,evening,high,1,indoors,4+,Eating out
rainy,afternoon,medium,2,indoors,3,Yoga
rainy,evening,medium,1,indoors,4+,Karaoke
snowy,afternoon,medium,2,indoors,3,Yoga
sunny,evening,high,1,indoors,3,Eating out
cloudy,morning,low,3,outdoors,2,Biking
cloudy,morning,medium,2,indoors,2,Yoga
sunny,evening,medium,3,outdoors,3,Hiking
snowy,morning,medium,1,indoors,4+,Comedy
cloudy,afternoon,medium,1,indoors,2,Movie
snowy,afternoon,medium,1,indoors,4+,Comedy
sunny,afternoon,low,3,outdoors,2,Biking
sunny,afternoon,high,1,indoors,4+,Eating out
sunny,morning,medium,2,indoors,2,Cooking class
cloudy,afternoon,medium,1,indoors,4+,Comedy
cloudy,evening,high,1,indoors,4+,Eating out
snowy,evening,low,1,outdoors,3,Stargazing
snowy,afternoon,medium,2,indoors,4+,Escape room
rainy,morning,low,2,outdoors,1,Kite flying
cloudy,afternoon,medium,1,indoors,4+,Museum
snowy,morning,medium,2,indoors,2,Yoga
snowy,evening,high,3,outdoors,1,Skiing
sunny,afternoon,low,2,outdoors,4+,Beach
rainy,evening,medium,1,indoors,2,Museum
sunny,afternoon,medium,3,outdoors,3,Hiking
sunny,morning,low,1,outdoors,3,Picnic
rainy,evening,medium,2,indoors,3,Yoga
sunny,evening,medium,3,outdoors,2,Swimming
snowy,morning,high,1,indoors,3,Eating out
snowy,morning,low,1,indoors,4+,Board games
snowy,afternoon,medium,1,indoors,4+,Karaoke
cloudy,morning,medium,3,indoors,1,Gym
sunny,afternoon,medium,2,outdoors,4+,Swimming
sunny,afternoon,low,2,outdoors,3,Beach
cloudy,afternoon,medium,1,indoors,4+,Comedy
sunny,afternoon,high,1,indoors,4+,Eating out
cloudy,afternoon,low,3,outdoors,2,Biking
sunny,afternoon,low,1,outdoors,4+,Picnic
sunny,evening,low,3,outdoors,1,Hiking
sunny,afternoon,low,3,outdoors,2,Biking
sunny,evening,low,1,outdoors,3,Stargazing
rainy,afternoon,low,2,outdoors,2,Kite flying
sunny,afternoon,low,3,outdoors,4+,Surfing
sunny,morning,medium,2,indoors,2,Yoga
sunny,morning,low,1,outdoors,3,Picnic
cloudy,morning,low,3,outdoors,3,Biking
cloudy,afternoon,medium,1,indoors,3,Comedy
cloudy,evening,medium,2,indoors,4+,Cooking class
rainy,evening,medium,2,indoors,4+,Bowling
cloudy,evening,high,1,outdoors,2,Zoo
cloudy,evening,low,3,outdoors,2,Biking
sunny,evening,medium,1,indoors,2,Movie
sunny,evening,low,1,outdoors,3,Park
sunny,evening,medium,1,indoors,2,Movie
cloudy,morning,medium,1,indoors,3,Karaoke
sunny,evening,medium,2,outdoors,2,Swimming
snowy,evening,high,3,outdoors,2,Skiing
snowy,evening,medium,1,indoors,2,Karaoke
rainy,morning,medium,3,indoors,2,Gym
sunny,morning,medium,2,indoors,4+,Cooking class
sunny,morning,low,2,outdoors,4+,Beach
rainy,afternoon,medium,1,indoors,2,Comedy
cloudy,morning,low,3,outdoors,2,Biking
sunny,afternoon,low,3,outdoors,2,Surfing
sunny,morning,medium,2,indoors,4+,Yoga
rainy,afternoon,low,1,outdoors,4+,Stargazing
sunny,evening,medium,2,indoors,1,Yoga
snowy,morning,medium,1,indoors,4+,Museum
snowy,morning,high,1,indoors,2,Eating out
rainy,evening,medium,2,indoors,1,Yoga
cloudy,evening,low,1,outdoors,3,Stargazing
snowy,evening,low,1,outdoors,4+,Stargazing
cloudy,morning,high,1,indoors,3,Eating out
sunny,morning,medium,1,indoors,2,Museum
snowy,evening,medium,1,indoors,3,Karaoke
sunny,morning,medium,1,indoors,3,Comedy
sunny,morning,medium,1,indoors,3,Comedy
sunny,evening,high,1,outdoors,2,Concert
snowy,afternoon,high,3,outdoors,1,Skiing
cloudy,morning,medium,3,indoors,2,Gym
snowy,evening,high,3,outdoors,1,Skiing
cloudy,evening,high,1,indoors,4+,Eating out
cloudy,morning,medium,1,indoors,3,Movie
sunny,evening,medium,1,indoors,2,Museum
cloudy,morning,low,1,outdoors,2,Park
rainy,evening,medium,1,indoors,2,Karaoke
snowy,evening,medium,2,indoors,4+,Bowling
sunny,afternoon,low,1,outdoors,2,Park
sunny,morning,medium,1,indoors,4+,Karaoke
snowy,evening,medium,1,indoors,2,Movie
cloudy,evening,medium,1,indoors,1,Museum
sunny,afternoon,medium,3,outdoors,4+,Swimming
rainy,afternoon,medium,1,indoors,2,Museum
cloudy,morning,medium,2,indoors,4+,Cooking class
sunny,morning,medium,3,outdoors,3,Swimming
cloudy,evening,low,3,outdoors,2,Hiking
sunny,afternoon,medium,3,indoors,2,Gym
snowy,morning,medium,2,indoors,4+,Bowling
snowy,evening,medium,2,indoors,1,Yoga
cloudy,evening,low,1,outdoors,1,Stargazing
cloudy,evening,high,1,outdoors,4+,Concert
sunny,morning,high,1,outdoors,2,Zoo
sunny,afternoon,medium,2,indoors,3,Cooking class
sunny,morning,low,3,outdoors,2,Surfing
cloudy,evening,low,3,outdoors,3,Biking
sunny,morning,medium,1,indoors,4+,Comedy
cloudy,morning,low,3,outdoors,1,Hiking
snowy,evening,high,1,indoors,4+,Eating out
snowy,afternoon,medium,3,indoors,1,Gym
snowy,afternoon,medium,1,indoors,2,Museum
sunny,evening,medium,2,indoors,2,Yoga
cloudy,afternoon,low,1,outdoors,4+,Stargazing
cloudy,morning,low,3,outdoors,2,Hiking
sunny,morning,medium,1,indoors,1,Museum
cloudy,afternoon,medium,2,indoors,3,Cooking class
sunny,evening,medium,1,indoors,3,Karaoke
sunny,morning,medium,3,outdoors,1,Swimming
rainy,afternoon,medium,2,indoors,1,Yoga
sunny,afternoon,low,2,outdoors,1,Kite flying
cloudy,afternoon,medium,2,indoors,4+,Yoga
sunny,morning,medium,1,indoors,3,Karaoke
rainy,morning,medium,3,indoors,2,Gym
snowy,morning,high,3,outdoors,3,Skiing
snowy,evening,high,3,outdoors,1,Skiing
cloudy,afternoon,medium,1,indoors,4+,Karaoke
snowy,evening,low,1,outdoors,2,Stargazing
cloudy,morning,high,1,outdoors,2,Zoo
rainy,evening,low,2,outdoors,1,Kite flying
sunny,evening,medium,2,indoors,3,Yoga
snowy,afternoon,medium,2,indoors,2,Cooking class
sunny,morning,medium,3,indoors,2,Gym
sunny,evening,low,1,outdoors,3,Picnic
snowy,afternoon,medium,1,indoors,1,Museum
snowy,evening,medium,1,indoors,2,Comedy
sunny,afternoon,medium,2,indoors,2,Yoga
snowy,afternoon,medium,2,indoors,3,Cooking class
cloudy,morning,medium,1,indoors,3,Karaoke
cloudy,morning,high,1,indoors,3,Eating out
cloudy,evening,high,1,outdoors,4+,Zoo
sunny,morning,low,3,outdoors,4+,Hiking
rainy,evening,medium,2,indoors,3,Yoga
rainy,afternoon,medium,1,indoors,2,Museum
sunny,afternoon,high,1,indoors,2,Eating out
rainy,evening,low,1,outdoors,3,Stargazing
rainy,evening,medium,1,indoors,4+,Karaoke
cloudy,evening,low,3,outdoors,4+,Biking
rainy,morning,medium,1,indoors,2,Museum
cloudy,evening,high,1,outdoors,3,Zoo
snowy,afternoon,medium,1,indoors,2,Karaoke
rainy,evening,medium,3,indoors,1,Gym
cloudy,evening,medium,1,indoors,2,Museum
sunny,morning,low,1,outdoors,4+,Stargazing
cloudy,evening,medium,3,outdoors,2,Hiking
sunny,evening,medium,2,outdoors,2,Swimming
cloudy,evening,medium,3,indoors,2,Gym
snowy,evening,medium,2,indoors,2,Yoga
sunny,afternoon,high,1,indoors,3,Eating out
rainy,morning,medium,1,indoors,3,Movie
snowy,afternoon,medium,2,indoors,3,Cooking class
sunny,evening,medium,1,indoors,4+,Museum
sunny,afternoon,low,3,outdoors,3,Surfing
cloudy,evening,low,1,outdoors,2,Park
snowy,evening,medium,1,indoors,3,Karaoke
rainy,morning,medium,3,indoors,1,Gym
cloudy,afternoon,medium,2,indoors,3,Cooking class
snowy,evening,medium,2,indoors,4+,Cooking class
cloudy,evening,high,1,outdoors,2,Zoo
rainy,evening,medium,2,indoors,1,Yoga
snowy,evening,high,1,indoors,2,Eating out
snowy,morning,medium,1,indoors,2,Karaoke
sunny,morning,low,1,outdoors,3,Beach
sunny,evening,low,1,outdoors,1,Park
sunny,evening,medium,1,indoors,3,Comedy
sunny,afternoon,high,1,indoors,3,Eating out
sunny,morning,medium,2,indoors,4+,Cooking class
cloudy,evening,high,1,outdoors,4+,Concert
sunny,evening,medium,1,indoors,2,Karaoke
sunny,morning,low,1,outdoors,1,Park
sunny,evening,medium,1,indoors,2,Karaoke
cloudy,afternoon,high,1,outdoors,3,Zoo
cloudy,morning,medium,2,indoors,4+,Escape room
snowy,afternoon,low,1,indoors,4+,Board games
rainy,afternoon,medium,3,indoors,2,Gym
sunny,morning,medium,3,outdoors,4+,Swimming
sunny,afternoon,low,3,outdoors,4+,Hiking
rainy,afternoon,medium,2,indoors,3,Yoga
sunny,morning,medium,2,outdoors,2,Swimming
cloudy,evening,medium,3,outdoors,1,Hiking
sunny,afternoon,low,1,outdoors,2,Stargazing
sunny,morning,low,2,outdoors,2,Kite flying
rainy,morning,high,1,indoors,3,Eating out
cloudy,afternoon,high,1,outdoors,3,Zoo
rainy,afternoon,low,1,indoors,4+,Board games
cloudy,morning,low,1,outdoors,1,Stargazing
sunny,evening,medium,2,indoors,4+,Bowling
sunny,afternoon,medium,1,indoors,3,Museum
cloudy,morning,medium,2,indoors,2,Cooking class
sunny,evening,low,3,outdoors,3,Biking
rainy,evening,low,2,outdoors,2,Kite flying
cloudy,afternoon,high,1,indoors,4+,Eating out
sunny,afternoon,medium,3,outdoors,4+,Swimming
cloudy,afternoon,medium,2,indoors,4+,Yoga
cloudy,evening,low,1,outdoors,3,Stargazing
cloudy,evening,high,1,outdoors,2,Zoo
snowy,evening,high,1,indoors,4+,Eating out
sunny,evening,low,1,outdoors,2,Picnic
rainy,morning,low,1,outdoors,3,Stargazing
cloudy,morning,medium,2,indoors,4+,Bowling
sunny,morning,high,1,outdoors,2,Zoo
cloudy,afternoon,high,1,indoors,3,Eating out
rainy,evening,low,1,outdoors,4+,Stargazing
rainy,evening,medium,2,indoors,4+,Escape room
rainy,afternoon,medium,2,indoors,4+,Escape room
sunny,afternoon,medium,2,indoors,1,Yoga
cloudy,afternoon,medium,1,indoors,2,Comedy
sunny,morning,low,1,outdoors,4+,Stargazing
sunny,morning,medium,2,indoors,2,Yoga
snowy,afternoon,medium,1,indoors,2,Museum
sunny,evening,low,1,outdoors,2,Picnic
snowy,evening,medium,1,indoors,2,Karaoke
cloudy,morning,low,1,outdoors,1,Park
cloudy,morning,high,1,outdoors,3,Zoo
rainy,afternoon,low,1,outdoors,4+,Stargazing
sunny,evening,medium,1,indoors,2,Museum
cloudy,evening,low,1,outdoors,1,Park
sunny,evening,medium,3,outdoors,3,Hiking
sunny,morning,high,1,outdoors,4+,Zoo
sunny,afternoon,low,3,outdoors,4+,Biking
cloudy,afternoon,medium,1,indoors,2,Movie
sunny,evening,medium,2,indoors,1,Yoga
snowy,evening,high,1,indoors,3,Eating out
rainy,evening,medium,2,indoors,1,Yoga
sunny,afternoon,medium,3,outdoors,3,Hiking
snowy,afternoon,medium,1,indoors,3,Museum
snowy,afternoon,medium,1,indoors,3,Movie
snowy,morning,medium,1,indoors,4+,Comedy
rainy,morning,medium,1,indoors,3,Museum
cloudy,evening,medium,1,indoors,1,Museum
cloudy,evening,low,1,outdoors,3,Park
rainy,evening,medium,1,indoors,4+,Karaoke
sunny,afternoon,medium,1,indoors,3,Karaoke
cloudy,morning,low,3,outdoors,3,Biking
snowy,morning,medium,1,indoors,4+,Comedy
sunny,morning,low,1,outdoors,4+,Park
snowy,afternoon,medium,1,indoors,3,Museum
rainy,morning,medium,1,indoors,2,Comedy
sunny,afternoon,medium,1,indoors,3,Movie
sunny,afternoon,low,1,outdoors,1,Park
rainy,morning,low,1,outdoors,2,Stargazing
sunny,evening,medium,2,indoors,3,Cooking class
sunny,morning,low,1,outdoors,1,Park
rainy,afternoon,high,1,indoors,4+,Eating out
snowy,evening,low,1,outdoors,4+,Stargazing
cloudy,afternoon,low,3,outdoors,2,Hiking
sunny,afternoon,low,3,outdoors,3,Biking
cloudy,afternoon,medium,1,indoors,2,Museum
sunny,afternoon,medium,1,indoors,3,Movie
sunny,evening,medium,1,indoors,3,Museum
sunny,morning,low,2,outdoors,4+,Beach
sunny,evening,medium,3,outdoors,3,Swimming
sunny,morning,high,1,indoors,3,Eating out
sunny,evening,high,1,indoors,3,Eating out
sunny,morning,medium,1,indoors,4+,Museum
snowy,evening,medium,1,indoors,2,Museum
rainy,afternoon,medium,1,indoors,3,Movie
cloudy,evening,medium,2,indoors,2,Cooking class
sunny,evening,low,1,outdoors,4+,Stargazing
snowy,morning,medium,2,indoors,4+,Escape room
cloudy,morning,medium,2,indoors,1,Yoga
sunny,afternoon,low,1,outdoors,1,Stargazing
sunny,evening,low,1,indoors,4+,Board games
rainy,morning,low,1,indoors,4+,Board games
snowy,evening,medium,1,indoors,2,Karaoke
snowy,afternoon,medium,2,indoors,4+,Yoga
cloudy,evening,low,1,outdoors,3,Picnic
sunny,afternoon,medium,2,indoors,2,Cooking class
cloudy,afternoon,medium,1,indoors,3,Movie
rainy,morning,high,1,indoors,3,Eating out
sunny,evening,low,2,outdoors,1,Kite flying
cloudy,morning,high,1,outdoors,4+,Concert
snowy,morning,high,1,indoors,3,Eating out
sunny,morning,medium,1,indoors,4+,Museum
cloudy,morning,high,1,outdoors,2,Zoo
sunny,afternoon,low,3,outdoors,3,Biking
cloudy,morning,low,1,outdoors,3,Park
sunny,morning,medium,3,indoors,2,Gym
cloudy,afternoon,medium,1,indoors,2,Karaoke
snowy,evening,medium,2,indoors,2,Yoga
sunny,evening,low,1,outdoors,2,Beach
snowy,afternoon,medium,2,indoors,4+,Yoga
rainy,evening,medium,2,indoors,3,Yoga
rainy,afternoon,medium,1,indoors,3,Museum
cloudy,afternoon,low,3,outdoors,2,Biking
cloudy,evening,medium,3,indoors,2,Gym
sunny,morning,medium,3,outdoors,2,Swimming
sunny,evening,low,1,outdoors,4+,Park
sunny,morning,medium,1,indoors,1,Museum
sunny,evening,low,2,outdoors,2,Beach
sunny,evening,low,1,outdoors,1,Park
cloudy,afternoon,low,1,outdoors,4+,Picnic
rainy,evening,high,1,indoors,4+,Eating out
sunny,afternoon,low,1,outdoors,2,Stargazing
rainy,morning,medium,1,indoors,3,Museum
rainy,evening,low,1,outdoors,3,Stargazing
cloudy,evening,low,1,outdoors,4+,Stargazing
rainy,afternoon,medium,2,indoors,4+,Yoga
sunny,morning,low,3,outdoors,1,Hiking
cloudy,afternoon,low,3,outdoors,3,Hiking
cloudy,evening,low,1,outdoors,2,Park
cloudy,afternoon,medium,2,indoors,1,Yoga
cloudy,evening,low,1,outdoors,1,Stargazing
rainy,morning,low,1,indoors,4+,Board games
sunny,evening,medium,3,outdoors,2,Hiking
cloudy,afternoon,medium,2,indoors,1,Yoga
snowy,morning,medium,1,indoors,3,Comedy
sunny,evening,medium,3,outdoors,4+,Hiking
sunny,morning,medium,1,indoors,4+,Karaoke
cloudy,afternoon,low,1,outdoors,4+,Park
snowy,afternoon,high,1,indoors,2,Eating out
sunny,afternoon,medium,1,indoors,3,Karaoke
snowy,afternoon,medium,2,indoors,1,Yoga
rainy,afternoon,medium,1,indoors,2,Comedy
cloudy,evening,low,1,outdoors,3,Picnic
rainy,afternoon,medium,2,indoors,4+,Bowling
cloudy,afternoon,low,1,outdoors,1,Stargazing
cloudy,morning,medium,1,indoors,4+,Museum
snowy,evening,high,1,indoors,2,Eating out
sunny,evening,low,2,outdoors,1,Kite flying
sunny,evening,medium,2,indoors,4+,Bowling
sunny,afternoon,high,1,outdoors,2,Zoo
cloudy,afternoon,medium,2,indoors,4+,Yoga
snowy,evening,medium,1,indoors,2,Movie
rainy,afternoon,medium,1,indoors,3,Comedy
sunny,morning,medium,3,outdoors,1,Swimming
sunny,evening,low,3,outdoors,3,Surfing
cloudy,afternoon,low,1,outdoors,4+,Stargazing
sunny,morning,medium,2,indoors,3,Yoga
sunny,morning,low,1,outdoors,3,Beach
sunny,afternoon,low,1,outdoors,3,Stargazing
sunny,morning,low,1,outdoors,4+,Park
snowy,evening,high,3,outdoors,4+,Skiing
rainy,evening,low,2,outdoors,2,Kite flying
rainy,morning,medium,1,indoors,3,Karaoke
cloudy,evening,low,1,outdoors,3,Stargazing
snowy,morning,medium,2,indoors,3,Yoga
cloudy,afternoon,high,1,indoors,3,Eating out
rainy,afternoon,medium,1,indoors,4+,Museum
rainy,morning,medium,1,indoors,3,Karaoke
sunny,morning,high,1,outdoors,2,Zoo
snowy,afternoon,low,1,indoors,4+,Board games
sunny,afternoon,low,1,outdoors,3,Park
cloudy,afternoon,medium,2,indoors,3,Cooking class
cloudy,afternoon,low,1,indoors,4+,Board games
rainy,morning,medium,2,indoors,3,Cooking class
cloudy,evening,medium,2,indoors,2,Yoga
snowy,afternoon,high,3,outdoors,3,Skiing
rainy,afternoon,medium,1,indoors,3,Comedy
rainy,evening,medium,2,indoors,2,Yoga
snowy,morning,high,3,outdoors,4+,Skiing
cloudy,morning,low,3,outdoors,1,Biking
rainy,morning,high,1,indoors,3,Eating out
rainy,evening,low,1,indoors,4+,Board games
cloudy,evening,low,3,outdoors,3,Hiking
cloudy,evening,medium,1,indoors,4+,Karaoke
sunny,evening,medium,2,outdoors,4+,Swimming
sunny,morning,low,3,outdoors,2,Hiking
snowy,evening,medium,2,indoors,3,Yoga
rainy,evening,medium,1,indoors,4+,Comedy
rainy,afternoon,medium,1,indoors,2,Movie
cloudy,evening,medium,2,indoors,1,Yoga
sunny,evening,low,3,outdoors,4+,Hiking
rainy,morning,medium,1,indoors,1,Museum
snowy,afternoon,medium,3,indoors,1,Gym
rainy,evening,low,1,outdoors,4+,Stargazing
cloudy,evening,medium,1,indoors,2,Movie
cloudy,morning,high,1,indoors,2,Eating out
sunny,afternoon,high,1,indoors,4+,Eating out
sunny,evening,medium,2,indoors,3,Cooking class
snowy,afternoon,medium,1,indoors,2,Movie
rainy,evening,medium,2,indoors,4+,Cooking class
cloudy,evening,low,1,outdoors,3,Stargazing
snowy,afternoon,medium,1,indoors,4+,Museum
sunny,morning,low,1,outdoors,3,Park
rainy,afternoon,high,1,indoors,4+,Eating out
sunny,morning,low,2,outdoors,2,Beach
sunny,morning,low,2,outdoors,3,Beach
sunny,afternoon,high,1,outdoors,2,Zoo
rainy,morning,medium,1,indoors,1,Museum
snowy,afternoon,high,3,outdoors,2,Skiing
rainy,afternoon,medium,1,indoors,1,Museum
sunny,afternoon,low,1,outdoors,1,Stargazing
sunny,evening,low,2,outdoors,2,Kite flying
snowy,evening,low,1,outdoors,3,Stargazing
rainy,morning,medium,2,indoors,4+,Bowling
rainy,evening,low,1,indoors,4+,Board games
rainy,morning,medium,2,indoors,4+,Bowling
cloudy,evening,low,3,outdoors,2,Biking
rainy,morning,low,1,outdoors,4+,Stargazing
snowy,evening,high,1,indoors,3,Eating out
cloudy,afternoon,medium,3,outdoors,3,Hiking
cloudy,afternoon,medium,1,indoors,2,Movie
snowy,evening,medium,2,indoors,4+,Yoga
cloudy,morning,medium,1,indoors,2,Museum
sunny,morning,medium,1,indoors,3,Karaoke
sunny,afternoon,medium,1,indoors,2,Karaoke
cloudy,morning,low,1,outdoors,3,Park
sunny,evening,low,1,outdoors,3,Picnic
cloudy,evening,low,3,outdoors,2,Biking
sunny,morning,low,2,outdoors,2,Kite flying
snowy,morning,medium,3,indoors,1,Gym
cloudy,afternoon,medium,3,outdoors,1,Hiking
snowy,afternoon,medium,1,indoors,3,Comedy
sunny,afternoon,low,1,outdoors,4+,Picnic
cloudy,afternoon,high,1,outdoors,4+,Concert
sunny,evening,high,1,indoors,3,Eating out
snowy,afternoon,high,1,indoors,3,Eating out
sunny,afternoon,low,2,outdoors,1,Kite flying
sunny,morning,medium,1,indoors,2,Museum
rainy,morning,medium,2,indoors,4+,Escape room
cloudy,morning,medium,3,outdoors,4+,Hiking
rainy,evening,low,1,outdoors,4+,Stargazing
snowy,afternoon,medium,1,indoors,4+,Museum
sunny,afternoon,low,1,outdoors,3,Picnic
sunny,morning,medium,2,outdoors,1,Swimming
